ITEM_CATEGORY_NAME,ITEM_SUBCATEGORY_NAME,ITEM_CLASS_NAME,PRODUCT_COUNTRY_ORIGIN_NAME,PRODUCT_SKU_NO,PRODUCT_LONG_NAME,PRODUCT_BASE_UPC_NO,PRODUCT_LITRES_PER_CONTAINER,PRD_CONTAINER_PER_SELL_UNIT,PRODUCT_ALCOHOL_PERCENT,PRODUCT_PRICE,SWEETNESS_CODE
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,CANADA,44189,CORONA 6 CAN,62067382376,0.355,6,4.6,13.49,NA
Wine,Australia Wine,Australia Red Wine,AUSTRALIA,92233,CABERNET SAUVIGNON MERLOT - WILD PLUM BLEASDALE 2019,9.31648E+12,0.75,1,14,19.99,0
Wine,France Wine,France White Wine,FRANCE,151483,MEURSAULT 1ER PORUZOTS - ANTOINE JOBARD 2019,6.2699E+11,0.75,1,14.5,245.99,0
Wine,Argentina Wine,Argentina Red Wine,ARGENTINA,160215,MALBEC - CATENA ZAPATA ADRIANNA VINEYARD RIVER STONES,7.79445E+12,0.75,1,13.5,239.99,0
Wine,Fortified Wine,Port Wine,PORTUGAL,174941,FONSECA - VINTAGE 2016,5.01352E+12,1.5,1,20.5,295.99,10
Wine,Chile Wine,Chile Red Wine,CHILE,182055,CABERNET SAUVIGNON - LOS VASCOS CROMAS GRAN RESERVA,7.80436E+12,0.75,1,14,24.99,0
Wine,France Wine,France Red Wine,FRANCE,194498,COTES DU RHONE - LA FIOLE 2018,3.21766E+12,0.75,1,14,19.99,0
Wine,France Wine,France White Wine,FRANCE,214332,SAUTERNES AND BARSAC - CHATEAU D'YQUEM 2006,6.2699E+11,0.75,1,14,900,10
General Merchandise,De-Alcoholized Product,Beer And Refreshment De-Alcoholized Product,GERMANY,310763,WARSTEINER PREMIUM FRESH,4.00086E+12,0.33,6,0.1,11.79,NA
Wine,USA Wine,USA Red Wine,UNITED STATES OF AMERICA,337402,ZINFANDEL - SEVEN DEADLY ZINS LODI OLD VINE 2016,6.52935E+11,0.75,1,15,25.49,0
